title,title_original,title_english,title_japanese,merged_titles,n_entries_merged,synopsis,genres,themes,score,episodes,aired,studios,composer,composer_source_url,features,mood,mood_method,imdb_review_url,artwork,mal_id,mal_url,artwork_url,mal_title_matched,mal_match_score
86 Eighty-Six,86 Part 2,86 Eighty-Six Part 2,86―エイティシックス―,86 Part 2,1,"The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion.

On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler.

However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know.

[Written by MAL Rewrite]",Action | Drama | Sci-Fi,Mecha | Military,8.72,12,2021,A-1 Pictures,"Hiroyuki Sawano, Kohta Yamamoto",,,"Bleak, tense war drama with political bite—emotionally heavy, character-driven, and steadily cathartic.",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt13718450/reviews/,https://www.google.com/search?tbm=isch&q=86+Eighty-Six+anime+official+key+visual,48569,https://myanimelist.net/anime/48569/86_Part_2,https://cdn.myanimelist.net/images/anime/1321/117508l.jpg,86 Part 2,0.3636
A Silent Voice,Koe no Katachi,A Silent Voice,聲の形,Koe no Katachi,1,"As a wild youth, elementary school student Shouya Ishida sought to beat boredom in the cruelest ways. When the deaf Shouko Nishimiya transfers into his class, Shouya and the rest of his class thoughtlessly bully her for fun. However, when her mother notifies the school, he is singled out and blamed for everything done to her. With Shouko transferring out of the school, Shouya is left at the mercy of his classmates. He is heartlessly ostracized all throughout elementary and middle school, while teachers turn a blind eye.

Now in his third year of high school, Shouya is still plagued by his wrongdoings as a young boy. Sincerely regretting his past actions, he sets out on a journey of redemption: to meet Shouko once more and make amends.

Koe no Katachi tells the heartwarming tale of Shouya's reunion with Shouko and his honest attempts to redeem himself, all while being continually haunted by the shadows of his past.
 
[Written by MAL Rewrite]",Award Winning | Drama,School,8.93,1,2016,Kyoto Animation,Kensuke Ushio,,,"Heartbreaking yet hopeful—viewers highlight its raw depiction of guilt, redemption, and emotional healing.",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt5323662/reviews/,https://www.google.com/search?tbm=isch&q=A+Silent+Voice+anime+official+key+visual,28851,https://myanimelist.net/anime/28851/Koe_no_Katachi,https://cdn.myanimelist.net/images/anime/6/79634l.jpg,A silent voice,0.4324
Akira,Akira,Akira,AKIRA（アキラ）,Akira,1,"Japan, 1988. An explosion caused by a young boy with psychic powers tears through the city of Tokyo and ignites the fuse that leads to World War III. In order to prevent any further destruction, he is captured and taken into custody, never to be heard from again. Now, in the year 2019, a restored version of the city known as Neo-Tokyo—an area rife with gang violence and terrorism against the current government—stands in its place. Here, Shoutarou Kaneda leads ""the Capsules,"" a group of misfits known for riding large, custom motorcycles and being in constant conflict with their rivals ""the Clowns.""

During one of these battles, Shoutarou's best friend Tetsuo Shima is caught up in an accident with an esper who finds himself in the streets of Tokyo after escaping confinement from a government institution. Through this encounter, Tetsuo begins to develop his own mysterious abilities, as the government seeks to quarantine this latest psychic in a desperate attempt to prevent him from unleashing the destructive power that could once again bring the city to its knees.

[Written by MAL Rewrite]",Action | Horror | Sci-Fi,Gore | Military | Super Power,8.16,1,1988,Tokyo Movie Shinsha,Geinoh Yamashirogumi,,,"Visceral and overwhelming—a landmark in animated sci-fi; dark, chaotic, and haunting with unforgettable imagery.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Akira+anime+official+key+visual,47,https://myanimelist.net/anime/47/Akira,https://cdn.myanimelist.net/images/anime/1408/114012l.jpg,Akira,1
Alien Stage,Alien Stage,Alien Stage,ALIEN STAGE (에일리언스테이지),Alien Stage,1,"Humans once lived like Earth was the center of the universe. Some people embraced religion and believed that God would deliver them from suffering. After humanity was enslaved by aliens, no one spoke of God any longer.

Now the grim truth is that humans are mere property of aliens. Recently, entering pet humans into the entertainment industry has become popular, and the biggest, most thrilling spectacle is known as Alien Stage. In this reality singing competition, alien sponsors flaunt their investments, while human contestants must battle to survive. No matter the relationship between opponents—whether it is love, hate, or something more extreme—only one victor can emerge each round.

[Written by MAL Rewrite]",Drama | Sci-Fi | Suspense,High Stakes Game | Music | Psychological,8.8,,2022,LICO,XENO VIBE; BL8M,https://alienstage.fandom.com/wiki/Sweet_Dream,,"painful, cruel, and bittersweet; tragic tension with a haunting aftertaste",IMDb user reviews (snippet synth),https://www.imdb.com/title/tt36378945/reviews/,https://www.google.com/search?tbm=isch&q=Alien+Stage+anime+official+key+visual,55255,https://myanimelist.net/anime/55255/Alien_Stage,https://cdn.myanimelist.net/images/anime/1524/143502l.jpg,Alien Stage,1
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,あの日見た花の名前を僕達はまだ知らない。,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,1,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko ""Menma"" Honma, appears and pesters him to grant a forgotten wish. He pays her no mind, which annoys her, but he doesn't really care. After all, Menma already died years ago.

At first, Jinta thinks that he is merely hallucinating due to the summer heat, but he is later on convinced that what he sees truly is the ghost of Menma. Jinta and his group of childhood friends grew apart after her untimely death, but they are drawn together once more as they try to lay Menma's spirit to rest. Re-living their pain and guilt, will they be able to find the strength to help not only Menma move on—but themselves as well?

[Written by MAL Rewrite]",Drama | Supernatural,School,8.29,11,2011,A-1 Pictures,Remedios,,,"Bittersweet and tender—an emotionally crushing story about grief, guilt, and unresolved childhood bonds.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Ano+Hi+Mita+Hana+no+Namae+wo+Bokutachi+wa+Mada+Shiranai.+anime+official+key+visual,9989,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,https://cdn.myanimelist.net/images/anime/5/79697l.jpg,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,1
Ansatsu Kyoushitsu,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom,暗殺教室,Ansatsu Kyoushitsu 2nd Season,1,"Returning from their summer vacation, the students of Class 3-E at the prestigious Kunugigaoka Middle School find themselves up against unbeatable odds. Faced with the possibility of world annihilation, the students must come up with increasingly elaborate and creative ways to kill their teacher, the cunning yet optimistic and helpful Koro-sensei.
 
However, eliminating Koro-sensei is not the only objective the students need to worry about. Gakuhou Asano, the academy's merciless and cruel principal, seeks to prevent Class 3-E's success by brainwashing his other hard-working pupils into ruthlessly competitive studying machines. Hostility begins to linger in the air as traitors and killers alike attempt to claim the bounty on Koro-sensei's head for themselves.
 
Nagisa Shiota, one of Class 3-E's most skilled assassins, finds himself in the middle of the conflict. While he works to maintain his academic standing and prevent the end of the world, domestic affairs jeopardize his place in Class 3-E. Together with his dedicated classmates, he must now face the threats head-on.

[Written by MAL Rewrite]",Action | Comedy,School,8.47,25,2016,Lerche,Tomoki Kikuya,,,Surprisingly heartfelt—starts as absurd comedy but builds genuine emotional warmth and bittersweet payoff.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Ansatsu+Kyoushitsu+anime+official+key+visual,24833,https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu,https://cdn.myanimelist.net/images/anime/5/75639l.jpg,Ansatsu Kyoushitsu,1
Ao Ashi,Ao Ashi,Aoashi,アオアシ,Ao Ashi,1,"In a quiet rural town, the spotlight of a local junior high school football team rests on one player: Ashito Aoi. Known for his unpredictable moves and self-centered playing style, Ashito is the sole powerhouse pushing his team through an important high school preliminary tournament. However, their win streak is short-lived—an opponent causes Ashito to lose his temper and act violently, resulting in his removal from the rest of the game.

Without their star player, the team is quickly eliminated from the tournament. Just as he believes all hope is lost, Ashito is approached by a youth team coach named Tatsuya Fukuda who senses potential in him, and Fukuda invites him for tryouts in Tokyo. In an unfamiliar setting surrounded by talent, Ashito must bring out the best of his ability to prove himself and secure what could be a life-changing career.

[Written by MAL Rewrite]",Sports,Team Sports,8.16,24,2022,Production I.G,Masaru Yokoyama,,,"Grounded and inspiring sports drama—less flashy than typical soccer anime, praised for realistic tension and character growth.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Ao+Ashi+anime+official+key+visual,49052,https://myanimelist.net/anime/49052/Ao_Ashi,https://cdn.myanimelist.net/images/anime/1731/120871l.jpg,Ao Ashi,1
Ao no Hako,Ao no Hako,Blue Box,アオのハコ,Ao no Hako,1,"Every morning, incoming first-year Taiki Inomata hurries to his high school gym in order to further refine his badminton skills. However, his true motivation stems from sharing the otherwise empty gym with second-year Chinatsu Kano, Taiki's crush and the star player of the girls' basketball team. Although Chinatsu seems unapproachable, Taiki gradually finds opportunities to get to know her little by little.

Unbeknownst to Taiki, his tireless work ethic and admiration motivate Chinatsu to work harder and strive to achieve her greatest ambitions. When her family must suddenly move overseas for work, Chinatsu decides to remain in Japan and shoot for victory at the national level. With nowhere to stay, she is taken in by Taiki's mother, who is longtime friends with Chinatsu's own. Overwhelmed with the new reality of living alongside the girl he loves, Taiki resolves to join Chinatsu at the national level in his own sport—and grow closer to her in the process.

Still, despite being good enough to catch his coach's eye, Taiki must fight an uphill battle to qualify for a spot on the starting team. Cheered on by both Chinatsu and gymnast Hina Chouno, his childhood friend, Taiki aims to make a name for himself among his powerful upperclassmen.

[Written by MAL Rewrite]",Romance | Sports,Love Polygon | School | Team Sports,8.21,25,2024,Telecom Animation Film,Takashi Ohmama,,,"Sweet and nervous—a gentle, slow-burn romance wrapped in sports, charming in its awkward sincerity.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Ao+no+Hako+anime+official+key+visual,57181,https://myanimelist.net/anime/57181/Ao_no_Hako,https://cdn.myanimelist.net/images/anime/1496/147108l.jpg,Ao no Hako,1
Aria the Natural,Aria the Natural,Aria the Natural,ARIA The NATURAL,Aria the Natural,1,"Akari Mizunashi continues her training to become a Prima Undine (a professional tour guide gondolier) along with her friends Aika and Alice in the peaceful city of Neo Venezia. Despite the fact that these three girls are from competing companies, they are constantly together, learning more about how to become better tour guides and more about the mysteries of Neo Venezia.

As the group continues to meet interesting and unforgettable people through their daily routines, they will also come closer to the secrets that make the enigmatic and ever beautiful city of Neo Venezia so warm and alive.

Welcome back to Neo Venezia: the city where miracles can be created by hand.

[Written by MAL Rewrite]",Sci-Fi | Slice of Life,Iyashikei,8.16,26,2006,HAL Film Maker,Choro Club feat. Senoo,,,"Deeply calming and quietly beautiful—a slice of life that feels like a warm, slow afternoon on the water.",IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Aria+the+Natural+anime+official+key+visual,962,https://myanimelist.net/anime/962/Aria_the_Natural,https://cdn.myanimelist.net/images/anime/2/77621l.jpg,Aria the Natural,1
Aria the Origination,Aria the Origination,Aria the Origination,ARIA The ORIGINATION,Aria the Origination,1,"In the 24th century on the planet Aqua, three girls—Akari Mizunashi, Alice Carroll, and Aika S. Granzchesta—continue to work hard toward achieving their goal of becoming Prima Undines: professional tour guide gondoliers. Luckily, the girls have the guidance of the three best Prima Undines in Neo-Venezia—Alicia Florence, Athena Glory, and Akira E. Ferrari—who are known as the ""Water Fairies"" in honor of their skill. With their help, the young apprentices train hard and work to overcome any situations that they find themselves in.

Aria The Origination follows the hardships and daily lives of these three young girls, who are doing their best to improve as tour gondoliers in Neo-Venezia, a terraformed replica of Venice.

[Written by MAL Rewrite]",Sci-Fi | Slice of Life,Iyashikei,8.47,13,2008,HAL Film Maker,Choro Club feat. Senoo,,,Bittersweet and luminous—a graceful farewell to a beloved world; peaceful yet emotionally resonant.,IMDb user reviews (snippet synth),,https://www.google.com/search?tbm=isch&q=Aria+the+Origination+anime+official+key+visual,3297,https://myanimelist.net/anime/3297/Aria_the_Origination,https://cdn.myanimelist.net/images/anime/1431/132867l.jpg,Aria the Origination,1
